id|title|starring|writer|editor|
25116|Swing Time|Frederick Austerlitz Jr. Virginia Katherine McMath|Allan Scott Erwin S. Gelsey Howard Lindsay||
25117||Judd Asher Nelson|David Stephens||
25118|La Nuit amu00E9ricaine|Jean-Pierre L?aud Alexandra Stewart Jean Champion Jean-Pierre Aumont Valentina Cortese Franu00E7ois Roland Truffaut Winfred Jacqueline Fraser-Bisset Dani|Franu00E7ois Roland Truffaut||
25119|The Idle Class|Edna Purviance Charles Chaplin Mack Swain Henry Bergman|Charles Chaplin||
25120|Love is Cinta|Raffi Ahmad Nirina Zubir Acha Septriasa Irwansyah|||
25121|Critters|Scott Richard Grimes Terrence Mann Ethan Phillips Dee Wallace-Stone Michael Emmet Walsh Billy Green Bush Don Keith Opper William George Zane, Jr.|Don Keith Opper Stephen Herek||
25122|Henry V|Robert Newton Leslie Banks Ren?e Asherson Laurence Kerr Olivier|Laurence Kerr Olivier Dallas Bower William Shakespeare Alan Dent||
25123|Yes, Giorgio|Luciano Pavarotti Kathryn Harrold|Anne Piper Norman Steinberg||
25124||Donann Cavin Greg Swanson Nick Nichols|||
25125||Ari Cohen Kelly Rowan Jason Scott Greenspan Yitzhak Edward Asner|Joseph Maurer||
25126|Octobre|Luc Picard Hugo Dub?|Pierre Falardeau Francis Simard||
25127||Jacklyn Jose Coco Martin|Brilliante Mendoza Boots Agbayani Pastor||
25128||<BR>|Pe?i Dado||
25129||Thomas Bryan Taliaferro Jr.|Jerry Ross||
25130|House of the Dead 2|Victoria Ainsle Pratt Emmanuelle Vaugier Arthur Edward Quinn Sticky Fingaz Nadine Velazquez|Peter Scheerer Michael Roesch Mark A. Altman||
25131||Julie Fiona Roberts George Martin Vincent Phillip D'Onofrio Campbell Scott A.J. Johnson Edna Rae Gillooly Colleen Dewhurst David Selby Giorgi Suka-Alex Trebek|Marti Leimbach Richard Friedenberg||
25132||Aasha Patel|||
25133||Paolo Stoppa Lino Ventura Anouk Aimee Ermes Effron Borgnino Nino Manfredi Silvana Mangano Vittorio Gassman Maria Amalia Mercouri Fernandel Volodymyr Palahnyuk Renato Rascel Alberto Sordi Vittorio De Sica|Cesare Zavattini||
25134|Hellfighters|Marion Robert Morrison Vera June Ralston Dana James Hutton Jay C. Flippen Katharine Ross|Clair Huffaker||
25135||Teresa Vel?zquez Angu00E9lica Maru00EDa Hartman Ortu00EDz Julio Alem?n|Caridad Bravo Adams Tito Davison||
25136|Brick|Meagan Monique Good Lukas Daniel Haas Nora Angela Zehetner Matthew Joseph O'Leary Brian J. White Noah Fleiss Noah Segan Emilie de Ravin Joseph Leonard Gordon-Levitt|Rian Johnson||
25137|The Great McGinty|Louis Jean Heydt Libby Taylor Thurston Hall Harry Rosenthal Steffi Duna Akim Tamiroff William Demarest Waldo Bruce Donlevy Allyn Joslyn Muriel Angelus Arthur Hoyt|Preston Sturges||
25138|Snow White and the Three Stooges|Buddy Baer Mark Bailey (actor) Guy Rolfe Edson Stroll Peter Coe (actor) Mel Blanc Larry Fine (actor) Edgar Barrier Herbie Faye Harry Moses Horwitz Carol Heiss Michael David (actor) Curly Joe DeRita Patricia Medina|Elwood Ullman Noel Langley Charles Wick||
25139|Serial (film) Universal Pictures||||
25140||Ingrid Caven Ulli Lommel Hanna Schygulla|Rainer Werner Fassbinder||
25141||Leslie William Nielsen Melvyn Edouard Hesselberg Byron Elsworth Barr Anne Baxter|Robert L. Joseph||
25142|Deadly Sins|David Lemuel Keith Alyssa Jayne Milano|Malcolm Barbour John Langley||
25143||Kurt Vogel Russell Harry Bratsburg  Heather North Wallace Maynard Cox Joe Flynn (US actor)|Lila Garrett (story)   Bernie Kahn (story)   Stewart C. Billett (story)   Joseph L. McEveety (screenplay)||
25144|Bush Christmas|Nicole Mary Kidman John Ewart|Ted Roberts||
25145|Nola|Mary McDonnell James Badge Dale Esteban Ernesto Echevarria Emmanuelle Grey Rossum|-Story-   Alan Hruska -Screenplay-   Alan Hruska||
25146|Bluebeard's Eighth Wife|Edward Everett Horton Lily Claudette Chauchoin James David Graham Niven Frank James Cooper|Charles Brackett Samuel Wilder Charlton Andrews Alfred Savoir||
25147||Manorama Vadivelu Nassar (actor) Tejashree|Chimbudeven||
25148||T?ru Furuya Mami Koyama|Maurice Maeterlinck||
25149||Kuan Tai Chen Wang Lap Tat Yue Wong Li-Li Li Gordon Liu|Kuang Ni||
25150|Luke Does the Midway|Harold Lloyd|||
25151|Planet of the Apes|Helena Bonham Carter Estella Warren Mark Wahlberg Michael Clarke Duncan Timothy Simon Smith|William Broyles Jr. Pierre Boulle Mark Rosenthal Lawrence Konner||
25152|The Midas Touch|Trever O'Brien|||
25153||Stephen Mendel Khrystyne Kamil Haje|Mark Sevi||
25154||Manivannan Vishal Krishna Mamta Mohandas Raghuvaran|||
25155||Maja Komorowska|Krzysztof Zanussi||
25156|In the Presence of a Clown|Erland Josephson Marie Richardson Ernst Ingmar Bergman Nils Bu00F6rje Ahlstedt Mia Pernilla Wallgren|Ernst Ingmar Bergman||
25157|Jeppe pu00E5 bjerget|Else Benedikte Madsen Buster Larsen Henning Jensen|Henning Bahs Ludvig Holberg||
25158|Golden Lion|John Adames Julie Carmen Virginia Cathryn Rowlands|John Nicholas Cassavetes||
25159|Manderlay|Bryce Dallas Howard William J. Dafoe|Lars von Trier||
25160||Suhasini Sudeep Vishnuvardhan(Actor)|||
25161|Why Pick on Me?|Harold Lloyd|||
25162||Weng Wang|Cora Caballes||
25163||Ramu00F3n Gerardo Antonio Estu00E9vez Warren Mercer Oates Mary Elizabeth Spacek|Terrence Malick||
25164||Pola Alonso Ana Arneodo|Carlos A. Olivari||
25165|Golden Globe Award for Best Foreign Language Film Ma vie en rose|Georges du Fresne|Alain Berliner Chris Vander Stappen||
25166||Harihar Jariwala Ashok Kumar Sulakshana Pandit|||
25167||Erich Oswald Stroheim Hildegard Knef|Hanns Heinz Ewers Kurt Heuser||
25168|Superman IV: The Quest for Peace|Christopher Reeve Jonathan Niven Cryer Eugene Alden Hackman Mariel Hadley Hemingway Margot Kidder John Cooper, Jr. Marc McClure|Jerome Siegel Joseph Shuster Christopher Reeve Mark Rosenthal Lawrence Konner||
25169|Volcanoes of the Deep Sea||Alex Low Stephen Low||
25170|American Blackout|Cynthia McKinney|||
25171||Martti Suosalo Heikki Nousiainen Seela Sella Miina Turunen|Timo Koivusalo||
25172|Sodoma Reykjavu00EDk Su00F3du00F3ma Reykjavu00EDk|Bj?rn J?rundur Fri?bj?rnsson|||
25173||Doug Stanhope|||
25174|The Best Man|Morris Chestnut Nitara Carlynn Long Scott Diggs|Malcolm D. Lee||
25175|Hum Saath Saath Hain: We Stand United||Sooraj R. Barjatya||
25176|Vamp|Chris Makepeace Gedde Watanabe Dedee Pfeiffer Robert Rusler Sandy Baron Grace Jones|Richard Wenk||
25177|The Big Idea|Harold Lloyd|||
25178||Attila H?rbiger Paula Wessely Carl Raddatz|Gerhard Menzel||
25179|It's All Gone Pete Tong|Beatriz Batarda Paul Kaye|Michael Dowse||
25180|Pale Rider|Michael Moriarty Carrie Snodgress Clinton Eastwood, Jr.|Michael Butler||
25181|Help!|Eleanor Bron Paul McCartney Patrick Cargill Victor Spinetti Mal Evans George Harrison John Lennon Leo McKern Ringo Starr|Charles Wood (playwright) Marc Behm||
25182|Jerry Maguire|Bonnie Lynn Hunt Jeremiah O'Connell Jonathan William Lipnicki Cuba Gooding, Jr. Thomas Cruise Mapother IV Jay Mohr Renu00E9e Kathleen Zellweger Kelly Kamalelehua Smith Regina King|Cameron Bruce Crowe||
25183||Anil Kapoor Sridevi Rishi Kapoor|||
25184||Harvey Herschel Korman Jeff East Paul Edward Winfield|Richard M. Sherman Robert B. Sherman Mark Twain||
25185|Nyfes|Damian Watcyn Lewis|Ioanna Karystiani||
25186||Lois Mae Green Kent Taylor Wong Liu Tsong George Ranft|Cyril Hume Arthur Phillips Grover Jones||
25187||Stefanie von Pfetten Jason Gedrick Lisa Edelstein Marla Lynne Sokoloff Sarah Carter|Christopher Canaan||
25188||Aniket Vishwasrao, Nishikant Kamat, Tannistha Chatterjee, Rajshree Thakur|||
25189|Videodrome|James Howard Woods Peter Dvorsky Leslie Carlson Jack Creley Sonja Smits Deborah Harry|David Paul Cronenberg||
25190|The Outsiders|Robert Hepler Lowe Christopher Thomas Howell Matthew Raymond Dillon Emilio Estevez Sheen Thomas Cruise Mapother IV Ralph George Macchio Patrick Swayze|Francis Ford Coppola S.E. Hinton||
25191||Alexander Hammid John Cage Parker Tyler|Maya Deren||
25192|Hua Mu Lan|Miao Ching Han Chin Ivy Ling|||
25193|The Savage Innocents|Antonio Rudolfo Oaxaca Quinn Peter Seamus Ou2019Toole Yoko Tani|Hans R?esch||
25194|The Two Brothers|Arthur V. Johnson|Eleanor Hicks||
25195|Eternally Yours|Mary William Ethelbert Appleton Burke Hugh Herbert Eunice M. Quedens Gretchen Young James David Graham Niven Broderick Crawford Zasu Pitts C. Aubrey Smith|Gene Towne C. Graham Baker||
25196||Tyrone Olson Greg Lutzka Daewon Song Chris Casey Rodney Mullen Cooper Wilt Chris Haslam Ryan Sheckler|||
25197||Joseph Provenzano Kenneth Dollins Louis Feinberg Harry Moses Horwitz Samuel Horwitz|Felix Adler||
25198|Hatachi no binetsu|Masashi End? Yoshihiko Hakamada Reiko Kataoka Sumiyo Yamada|Ryosuke Hashiguchi||
25199|The Colditz Story|Ian Carmichael Lewis Ernest Watts Mills Lionel Jeffries Eric Harrison Portman Christopher Rhodes|Ivan Foxwell Guy Hamilton||
25200|L'Arbre, le maire et la mu00E9diathu00E8que|Pascal Greggory Arielle Dombasle Fabrice Luchini|u00C9ric Rohmer||
25201||Jeni Courtney|Novel: Rosalie K. Fry Screenplay: John Sayles||
25202|Close Encounters of the Third Kind|Franu00E7ois Roland Truffaut Richard Stephen Dreyfuss|Steven Allan Spielberg||
25203||Martin Kosleck|Arnold Drake||
25204||David Wissak Yekaterina Golubeva|Bruno Dumont||
25205|La Marca del Hombre-Lobo|Paul Naschy Manuel Manzaneque Dyanik Zurakowska|Jacinto Molina||
25206||Spencer Bonaventure Tracy Humphrey DeForest Bogart Warren Hymer Claire Luce|Maurine Dallas Watkins||
25207||VIVEKANANDHAN DEVAR Meera Chopra Prashanth Meghna Naidu|Nandhaswamy||
25208|Anne of Green Gables|Charley Grapewin Tom Brown (actor) Bonita Granville Paul Stanton Johnnie Lucille Ann Collier Sarah Haden Anne Shirley Ben Hall|Lucy Maud Montgomery||
25209|Weeds|Lane Smith Rita Taggart Ernie Hudson Nicholas King Nolte Mark Rolston|Dorothy Tristan John D. Hancock||
25210||Daniel Gilchrist|||
25211|Breakin' All the Rules|Morris Chestnut Eric Marlon Bishop Peter MacNicol Gabrielle Monique Union|Daniel Taplitz||
25212||Jennifer Lynn Connelly Kiefer William Frederick Dempsey George Rufus Sutherland Rufus Frederik Sewell William Hurt|Lem Kitaj David S. Goyer||
25213|Shooting Fish|Dan Futterman Kathrin Romany Beckinsale Stuart Townsend|Stefan Schwartz Richard Holmes||
25214|Segunda Piel|Jordi Molla Mercedes Sampietro Marro Cecilia Roth Ariadna Gil Javier u00C1ngel Encinas Bardem|||
25215|Luke Cage|Tyrese Gibson|||
25216|All's Well, Ends Well Too|Sandra Ng Guan Ga Wei u95DCu5BB6u6167 Samuel(Sam) Hui u5F35u767Cu5B97 (Cheung Fat Chung) Ricky Hui Teresa Mo Ng Man Tat|Vincent Kok Raymond Wong Bak-Ming Clifton Ko Ma Tak Chung||
25217|Airport '77|James Stewart (actor) Lyova Haskell Rosenthal John Uhler Lemmon III|David Spector Michael Scheff Charles Kuenstle||
25218|The Bachelor and the Bobby-Soxer|Archibald Alec Leach Myrna Adele Williams Shirley Jane Temple|Sidney Sheldon||
25219||Suresh G. Nair Mohanlal Viswanathan Nair Kaveri Murali Sithara|||
25220|Love and Human Remains|Cameron Bancroft Mia Kirshner Joanne Vannicola Ruth Marshall Thomas Ellis Gibson Matthew Ferguson|Brad Fraser||
25221|The Unafraid|Rita Jolivet|Cecil Blount DeMille||
25222||Motilal Nutan Samarth Raj Kapoor|||
25223|Shichinin no tomurai|Dankan Takeshi Kitano Pepe Hozumi|Dankan||
25224|Beyond Our Ken|Daniel Wu Chung Ka-Lai ()|Ho-Cheung Pang Wing Sze Wong||
25225|White Mane|Alain Emery|James Agee||
25226||Vijay (actor) Ishaa Koppikar|||
25227|Just Follow Law|Moses Lim Gurmit Ottawan Singh Fann Woon Fong|||
25228|The Imaginarium of Doctor Parmassus|Arthur Christopher Orme Plummer Heath Andrew Ledger Tom Waits|Charles McKeown||
25229||Frances Nsokwu Amaechi Muonagor Oby Kechere Osita Iheme Chinedu Ikedieze|||
25230||Michael Tucker (director)|Petra Epperlein Michael Tucker (director)||
25231||Hugh Antony Kobna Quarshie Tomas Arana Giovanni Lombardo Radice Asia Aria Anna Maria Vittoria Rossa Argento|Dardano Sacchetti Dario Argento Lamberto Bava||
25232|Casa de Lava|Isaach De Bankol? ?dith Scob In?s de Medeiros|Pedro Costa||
25233||Catherine Chesire Stephanie Dees Dahlia Victoria Ann Michelle Fitzgerald Michael McColl George Eddington Gunnar Jones Mathew Gallagher Rafael Angelo|Dominique Luchart||
25234|La Terrazza|Marcello Vincenzo Domenico Mastroianni Vittorio Gassman Ugo Tognazzi|Agenore Incrocci Furio Scarpelli Ettore Scola||
25235|Kung Fu Hustle|Yuen Wah Yuen Qiu Bruce Leung Chan Kwok Kuen|Stephen Chow Tsang Kan Cheong Xin Huo Chan Man Keung||
25236||Philip Baker Hall Ben Chaplin Winona Laura Horowitz Sarah Wynter John Vincent Hurt|Betsy Stahl (story) Pierce Gardner (screenplay)||
25237||Brad Rowe (actor) Meredith Scott Lynn Sean Patrick Hayes Richard Ganoung|Tommy O'Haver||
25238|The Ladykillers|Thomas Jeffrey Hanks Ryan Hurst Tzi Ma Marlon Wayans Jonathan Kimble Simmons Irma P. Hall|William Rose (screenwriter) Ethan Coen Joel Coen||
25239||Anupam Kher Anil Kapoor Kajol Shakti Kapoor|Bhupati Raja Jainendra Jain||
25240|Ascenu00E7u00E3o E Queda de um Paquera|Cl?udio Cavalcanti|Alexandre Pires Paulo Silvino||
25241|||John Pilger||
25242|The Other|Uta Hagen Diana Muldaur|Tom Tryon||
25243|Percy|Hywel Thomas Bennett Denholm Mitchell Elliott Elke Schletz Britt-Marie Eklund|||
25244||Pierre Tremblay Bruce Baron|Godfrey Ho||
25245|Shoah|Simon Srebnik Michael Podchlebnik Motke Zaidl Hanna Zaidl Jan Piwonski|||
25246|Zu00E9ro de conduite|Robert le Flon Jean Dast?|Jean Vigo||
25247||James Channon Roe Tom Everett Joshua Lee Holloway Ed Bruce|Milton Brown||
25248||Dominick DeLuise Tina Blacker Kenneth Ronald Berry June Lockhart Larry Storch Richard Kline|G?sta Knutsson||
25249|The Big Town|Matthew Raymond Dillon Bruce MacLeish Dern Tommy Lee Jones Lyova Haskell Rosenthal Diane Lane|Clark Howard Robert Roy Pool||
25250|Muta Mesthri|Roja Gummadi Venkateswara Rao Konidela Siva Sankara Vara Prasad Sarat Saxena Meena|A. Kodandarami Reddy Paruchuri Brothers||
25251|I Was Meant for You|Charles West (actor)|Harvey Gates||
25252|West Is Best|Hoot Gibson|Harvey Gates||
25253||Sukumaran Nair|||
25254|The Stopped Clock|Claire McDowell|Frank E. Woods||
25255|Twisted|Sean Haroy Faris Jim Auyeung Jake Agregado|Greg Petusky Johnny Wu||
25256||Beverly Lynne Janet Romano|Joe Castro||
25257|Japanese Website'||Fumihito Takayama||
25258|Honey, I Blew Up the Kid|Robert Oliveri Frederick Alan Moranis Lloyd Vernet Bridges, Jr. Marcia Strassman John Shea|Garry Goodrow Thomas Everett Eberhardt Peter Elbling||
25259|Spanking the Monkey|Benjamin Hendrickson Judette Jones Carla Gallo Alberta Watson Jeremy Boring|David O. Russell||
25260|Hulchul|Amrish Lal Puri Kareena Kapoor Arbaaz Khan Laxmi Farha Arshad Warsi Shakti Kapoor Jackie Shroff Paresh Rawal Akshaye Khanna Sunil Shetty|K. P. Saxena Siddique (director)||
25261|BAFTA Award for Best Film Manhattan|Michael Murphy (actor) Allen Stewart Ku00F6nigsberg Anne Byrne Mariel Hadley Hemingway Mary Louise Streep Diane Hall|Marshall Brickman||
25262|The Letter|Ruth Elizabeth Davis Herbert Brough Falcon Marshall James Stephenson|W. Somerset Maugham Howard Koch (screenwriter)||
25263|Du levande|Jessika Lundberg Bju00F6rn Englund Fred Anderson|Roy Andersson||
25264||Joanne Whalley Michael Warren Jason Nelson Robards Jr. Charlotte Lewis James Todd Spader|Frank Galbally (novel) Robert Macklin (novel) Mark Frost (screenplay)||
25265|The Ghost Inside|Liu Ye Gong Beibei Barbie Hsu|Chau Ting||
25266||Elizabeth Hartman Joe Don Baker|John Michael Hayes||
25267||Leslie Allen Jordan Steven Mayhew Ross Thomas (actor)|Joe Brouillette||
25268||Adam Ant|||
25269||Shigeru Chiba|Kazunori Itoh Headgear (artist group)||
25270||Sean Patrick Flanery Jeremiah O'Connell|David McKenna (writer)||
25271||Christopher Ling Lee Ian Hugh Dancy Robert William Hoskins Michael Jessing Langgi Emily Mortimer Brenda Ann Bottle Junix Nocian Jessica Marie Alba|Guy Jenkin||
25272|Serial (film) Superman Columbia Pictures|Carol Foreman Noel Neill Thomas Ross Bond Kirk Alyn|Arthur Hoerl Joseph F. Poland Royal K. Cole George H. Plympton Lewis Clay||
25273||Candace Cameron Bure Mark-Paul Harry Gosselaar|||
25274||Adolphe Jean Menjou Arthur Franz Gerald Mohr|Harry Brown (writer) Edna Anhalt Edward Anhalt||
25275||Karl Valentin|||
25276|Lion of the Desert|Antonio Rudolfo Oaxaca Quinn Rodney Stephen Steiger Oliver Reed|H.A.L. Craig||
25277||Tisa Farrow Jim Brown Harvey Keitel|James Toback||
25278|Mitr, My Friend|Sobhana|||
25279|You Belong to Me|Henry Jaynes Fonda Ruby Catherine Stevens|Dalton Trumbo Claude Binyon||
25280|Sword of the Beast|Mikijiro Hira Go Kato|Hideo Gosha Eizaburo Shiba||
25281||Lisa Flanagan Luke Carroll Nathan Phillips (actor) Kevin Harrington|Phillip Gwynne||
25282|200 Cigarettes|Caleb Carr Paul Stephen Rudd Benjamin Gu00E9za Affleck Christina Ricci Courtney Love Jay Mohr Dave Chappelle Angela Eileen Featherstone Caleb Casey Affleck Martha Campbell Plimpton|Shana Larsen||
25283|Phir Hera Pheri|Bipasha Basu Suniel Shetty Rimi Sen Paresh Rawal Rajiv Hari Om Bhatia|Neeraj Vora||
25284|A Wedding|Geraldine Chaplin Maria de Lourdes Villiers-Farrow Lillian Diana Gish Carol Creighton Burnett Desi Arnaz Jr. Howard Duff|Robert Bernard Altman Patricia Resnick John Considine Allan F. Nicholls||
25285|Peaceful Warrior|Scott David Mechlowicz Amy L. Smart Nicholas King Nolte|Dan Millman||
25286||Haris Sijari? Kemal ?ebo Svetozar Cvetkovi?|Sr?an Vuleti?||
25287|Twenty Minutes of Love|Charles Chaplin Minta Durfee Edgar Kennedy Gordon Griffith Chester Cooper Conklin Josef Swickard Hank Mann|||
25288|Golmaal|Sharman Joshi Ajay Devgan Tusshar Kapoor Rimi Sen Paresh Rawal Arshad Warsi Sushmita Mukherjee|Niraj Vora||
25289|The Wonderful World of the Brothers Grimm|Walter Slezak Russell Irving Tamblyn Karlheinz B?hm Patricia Claire Blume Lawrence Harvey Yvette Carmen Mimieux Buddy Hackett Jim Backus Terry Thomas Oscar Homolka|David P. Harmon William Roberts (screenwriter) Charles Beaumont||
25290|Swimming to Cambodia|Spalding Gray|Spalding Gray||
25291|||Abbas Kiarostami||
25292|The Devil Rides Out|Charles Gray (actor) Christopher Frank Carandini Lee|Richard Matheson||
25293||James Craig Stanley Morner Virginia Katherine McMath|Dalton Trumbo Donald Ogden Stewart||
25294|Halloween III: Season of the Witch|Ralph Strait Dan O'Herlihy Stacey Nelkin Michael Currie Nancy Kyes Tom Atkins (actor)|Thomas George Wallace||
25295||Tadao Takashima Yoko Fujiyama Jun Tazaki|Shunro Oshikawa Shigeru Komatsuzaki Kaitei Gunkan Kaitei Okoku Shinichi Sekizawa||
25296||William Claude Rains Marius Goring Marta Toren|Georges Simenon||
25297||Sean Gunn|Lee Kirk||
25298||Man Cheuk Chiu Moses Chan Valerie Chow Kar-Ling Xin Xin Xiong|Hui Koan Tsui Hark||
25299|L.A. Story|Stephen Glenn Martin Sarah Jessica Parker Richard Grant Esterhuysen Victoria Tennant Mary Lucy Denise Pudlowski|Stephen Glenn Martin||
25300||Pongsak Pongsuwan Somlek Sakdikul|||
25301||Robert John Wagner John Schile Amy Davidson Jason Edward Mewes Maiz Lucero Steve Burns Jeremy Childs Bob Rue Max Bullis Robyn Allen Judd Asher Nelson Bruce Nelson (actor) Darrell Hammond Cathy Rankin Laura Durant John Dobradenka Bill Lippincott Joshua Childs Brian Ronalds David Scott Foley|Bruce Dellis||
25302||Amitabh Bachchan Shatrughan Sinha Aruna Irani|Usilai Somanathan Rajendra Krishan||
25303||Jorge Rau00FAl Porcel de Peralta|Hugo Sofovich||
25304||Richard Lewis Hearne Margaret Rutherford James Norval Harald Justice|Patrick Campbell||
25305|Miss Firecracker|Alfre Ette Woodard Mary Steenburgen Timothy Francis Robbins Scott Glenn Holly P. Hunter|Beth Henley||
25306|El Viento|Esteban Meloni Mariana Briski Antonella Costa Pablo Cedr?n Federico Luppi|Graciela Maglie||
25307||Granville Finkle|James Marks||
25308||Thomas Sean Connery Luigina Lollobrigida Ralph David Richardson|Stanley Mann Robert Muller||
25309|Ningen Johatsu|Yoshie Hayakawa Shigeru Tsuyuguchi Shohei Imamura|Shohei Imamura Keiji Hasebe||
